"Actions","Actions"
"Action","Action"
"Active","Active"
"Add New Rule","Add New Rule"
"An error occurred while deleting the rule. Please review the log and try again.","An error occurred while deleting the rule. Please review the log and try again."
"An error occurred while saving the rule data. Please review the log and try again.","An error occurred while saving the rule data. Please review the log and try again."
"Apply Rules","Apply Rules"
"Bottom-Center","Bottom-Center"
"Bottom-Left","Bottom-Left"
"Bottom-Right","Bottom-Right"
"Catalog","Catalog"
"Category Page Label","Category Page Label"
"Click here to select","Click here to select"
"Conditions Combination","Conditions Combination"
"Conditions","Conditions"
"Conditions (leave blank for all products)","Conditions (leave blank for all products)"
"Customer Groups","Customer Groups"
"Date Expire","Date Expire"
"Date Start","Date Start"
"Description","Description"
"Disallowed file type.","Disallowed file type."
"Display","Display"
"Edit Rule","Edit Rule"
"Edit Rule '%s'","Edit Rule '%s'"
"From Date","From Date"
"General Information","General Information"
"ID","ID"
"Image","Image"
"Image Path","Image Path"
"Inactive","Inactive"
"Middle-Center","Middle-Center"
"Middle-Left","Middle-Left"
"Middle-Right","Middle-Right"
"New Rule","New Rule"
"No","No"
"On Sale Label Rule","On Sale Label Rule"
"On Sale Label Rules","On Sale Label Rules"
"Position","Position"
"Priority","Priority"
"Product Attribute","Product Attribute"
"Product Page Label","Product Page Label"
"Promotions","Promotions"
"Rule Information","Rule Information"
"Rule Name","Rule Name"
"Save and Apply","Save and Apply"
"Save and Continue Edit","Save and Continue Edit"
"Status","Status"
"Text","Text"
"There are rules that have been changed but were not applied. Please, click Apply Rules in order to see immediate effect in the catalog.","There are rules that have been changed but were not applied. Please, click Apply Rules in order to see immediate effect in the catalog."
"The rule has been deleted.","The rule has been deleted."
"The rule has been saved.","The rule has been saved."
"The rules have been applied.","The rules have been applied."
"This rule no longer exists.","This rule no longer exists."
"To Date","To Date"
"Top-Center","Top-Center"
"Top-Left","Top-Left"
"Top-Right","Top-Right"
"Unable to apply rules.","Unable to apply rules."
"Unable to find a rule to delete.","Unable to find a rule to delete."
"Websites","Websites"
"Website","Website"
"Wrong rule specified.","Wrong rule specified."
"Yes","Yes"
"You can use predefined values in this field. Please refer to extension manual.","You can use predefined values in this field. Please refer to extension manual."
"Threshold (%)","Threshold (%)"
"Discount threshold to make labels appear (e.g. 10)","Discount threshold to make labels appear (e.g. 10)"
"Product On Sale Label","Product On Sale Label"
"Category On Sale Label","Category On Sale Label"
"Product New Label","Product New Label"
"Category New Label","Category New Label"
"Days","Days"
"Overrides On Sale Label","Overrides On Sale Label"
"Overrides Native Product ""New"" Period","Overrides Native Product ""New"" Period"
"On Sale","On Sale"
"Manage Rules","Manage Rules"
"On Sale Rules","On Sale Rules"
"Category Label","Category Label"
"Product Label","Product Label"
"Display label on product page","Display label on product page"
"Product label position","Product label position"
"Product page label","Product page label"
"Product label path","Product label path"
"Product label text","Product label text"
"Display label on category page","Display label on category page"
"Category label position","Category label position"
"Category page label","Category page label"
"Category label path","Category label path"
"Category label text","Category label text"
"/img/image.png or http://domain.com/img/image.png","/img/image.png or http://domain.com/img/image.png"
"Configuration","Configuration"
"Store View","Store View"
