"-- Please Select --","-- Please Select --"
"------","------"
"---------","---------"
"ALT Text","ALT Text"
"Account Bottom","Account Bottom"
"Account Dashboard Bottom","Account Dashboard Bottom"
"Account Dashboard Top","Account Dashboard Top"
"Account Login Bottom","Account Login Bottom"
"Account Login Top","Account Login Top"
"Account Top","Account Top"
"Action","Action"
"Add Group","Add Group"
"Add Slide","Add Slide"
"All Footer Bottom","All Footer Bottom"
"All Footer Top","All Footer Top"
"All Left Sidebar Bottom","All Left Sidebar Bottom"
"All Left Sidebar Top","All Left Sidebar Top"
"All Main Content Bottom","All Main Content Bottom"
"All Main Content Top","All Main Content Top"
"All Right Sidebar Bottom","All Right Sidebar Bottom"
"All Right Sidebar Top","All Right Sidebar Top"
"Animation Direction","Animation Direction"
"Animation Duration","Animation Duration"
"Animation Type","Animation Type"
"Are you sure?","Are you sure?"
"Auto Start Animation","Auto Start Animation"
"Autoplay Video","Autoplay Video"
"CMS Template Tag (content editor)","CMS Template Tag (content editor)"
"Caption Animation","Caption Animation"
"Caption Background Color","Caption Background Color"
"Caption Default Text Color","Caption Default Text Color"
"Caption Opacity","Caption Opacity"
"Caption Position","Caption Position"
"Caption Style","Caption Style"
"Caption","Caption"
"Cart Bottom","Cart Bottom"
"Cart Top","Cart Top"
"Category And Product Selections In Group Settings","Category And Product Selections In Group Settings"
"Change status","Change status"
"Checkout Based Positions","Checkout Based Positions"
"Checkout Cart Bottom","Checkout Cart Bottom"
"Checkout Cart Top","Checkout Cart Top"
"Checkout Page Bottom","Checkout Page Bottom"
"Checkout Page Top","Checkout Page Top"
"Click Here To Add Products","Click Here To Add Products"
"Code","Code"
"Create a Group","Create a Group"
"Custom CSS","Custom CSS"
"Customer Based Positions","Customer Based Positions"
"Delete","Delete"
"Disabled","Disabled"
"Display on Categories","Display on Categories"
"Display on Pages","Display on Pages"
"Display on Product Pages","Display on Product Pages"
"Due to limitations of Magento it's only possible to add a slider group to the top or the bottom of a selected product page. Placing a slider on a specific location on a product page will require template customization.","Due to limitations of Magento it's only possible to add a slider group to the top or the bottom of a selected product page. Placing a slider on a specific location on a product page will require template customization."
"Easing Effect","Easing Effect"
"Edit Group '%s'","Edit Group '%s'"
"Edit Slide '%s'","Edit Slide '%s'"
"Edit","Edit"
"Edit","Edit"
"Enable Them In The General Settings If Desired","Enable Them In The General Settings If Desired"
"Enabled","Enabled"
"Flexslider - Slides","Flexslider - Slides"
"Footer Bottom","Footer Bottom"
"Footer Top","Footer Top"
"General Information","General Information"
"General Settings","General Settings"
"General","General"
"Group Categories","Group Categories"
"Group Pages","Group Pages"
"Group Products","Group Products"
"Group was successfully deleted","Group was successfully deleted"
"Group was successfully saved","Group was successfully saved"
"Group","Group"
"Groups - Flexslider","Groups - Flexslider"
"Hosted Image Thumb URL","Hosted Image Thumb URL"
"Hosted Image URL","Hosted Image URL"
"ID","ID"
"Image or Video","Image or Video"
"Image","Image"
"Information","Information"
"Is Enabled","Is Enabled"
"Left Sidebar Bottom","Left Sidebar Bottom"
"Left Sidebar Top","Left Sidebar Top"
"Loader Color","Loader Color"
"Loader Gutter Color","Loader Gutter Color"
"Loader Opacity","Loader Opacity"
